timestep [],time [Myr],sac_1 [m],sac_2 [m],sac_3 [m]
114,0.0228,1.1119489765376063,2.5509148639411943,1.0409885787718485
115,0.023,1.1155399331536229,2.6154641544164354,1.064499737489632
116,0.0232,1.119251217806736,2.614996144003894,1.0886392534375102
117,0.0234,1.1229775154812665,2.6145317580176792,1.113282974545815
118,0.0236,1.1249480367729148,2.62144477617542,1.1384552318697507
119,0.0238,1.1279497442714213,2.687307646954046,1.1591390238684314
120,0.024,1.1310040549933786,2.7586460371199157,1.1839730350949114
121,0.0242,1.133100453743581,2.8265141384276204,1.2049171504858427
122,0.0244,1.154296109696947,2.8826620453166325,1.226582274909262
123,0.0246,1.1736035479868547,2.9476979877047187,1.2482650608605583
124,0.0248,1.1945844029093702,2.946624331391012,1.269975357785647
125,0.025,1.2155072645012557,2.945561069389769,1.2707311356025066
126,0.0252,1.217492144103844,2.944508071764883,1.2719499835287382
127,0.0254,1.2383512941134862,3.010578643177063,1.3212334481662338
128,0.0256,1.2388015300753001,3.009633869800375,1.3219824403507314
129,0.0258,1.2410767909320466,3.0086994342252114,1.322728947701765
130,0.026,1.241490710555319,3.0077858748816046,1.3745121902744903
131,0.0262,1.2421351393723385,3.006880200630973,1.375650696216472
132,0.0264,1.2426229608887875,3.0059808812477606,1.4280003834855228
133,0.0266,1.2639288001225215,3.0050990147968104,1.4288111191299155
134,0.0268,1.2836173978332404,3.0042280603151137,1.4810689307231324
135,0.027,1.2840197278811372,3.0033776515725967,1.4818798932224189
136,0.0272,1.3054529861788136,3.002530882938427,1.4826904528017537
137,0.0274,1.3059186846390487,3.001701780797912,1.483677677242732
138,0.0276,1.306386040056766,3.000882766149294,1.5085684971694613
139,0.0278,1.3068897720730674,3.0000804232568847,1.509527950557997
140,0.028,1.3073949833290324,2.999287897694836,1.5104957440868207
141,0.0282,1.3079308004005286,2.9985082027297723,1.5114630950897858
142,0.0284,1.3084680164539995,2.9977411364447657,1.5124294696783016
143,0.0286,1.3282252038651858,2.996986508987809,1.5133945343149195
144,0.0288,1.3496859553800349,2.9962471019004266,1.5143582587900963
145,0.029,1.3501759973928371,2.99552501117058,1.515320509029583
146,0.0292,1.3508364547188159,2.9948066760326366,1.5162810340633743
147,0.0294,1.3723556546648688,2.994169664639754,1.517239647009696
148,0.0296,1.3937978281836583,3.0637381447780236,1.5181961915533235
149,0.0298,1.415556710964732,3.063278403187985,1.5191505203715352
150,0.03,1.4358820901218785,3.062827729788635,1.5201025080311563
151,0.0302,1.4681382993700782,3.0623859787895187,1.5210520578914415
152,0.0304,1.4706142406738498,3.061953007026061,1.5219993353417998
153,0.0306,1.494923078319581,3.1256755006779735,1.5229447238455474
154,0.0308,1.5196510334289601,3.1253746235791473,1.5238884301129185
155,0.031,1.5448945837041825,3.1966379678440524,1.5248306427989953
156,0.0312,1.5500825628788668,3.266235724534882,1.525771664315822
157,0.0314,1.637645090865253,3.265626235003413,1.5267118056249465
158,0.0316,1.7326323769045078,3.2737446604243248,1.5276515216332833
159,0.0318,1.7446774654487314,3.2736361421637676,1.5285915912126573
160,0.032,1.8402638776733358,3.339369842605425,1.529533201337726
161,0.0322,1.9331896638724606,3.40472736774937,1.5305104388701003
162,0.0324,2.0230451251012607,3.4044519913833886,1.5321204265887056
163,0.0326,2.024872806833619,3.4107873499798322,1.5834737557848595
164,0.0328,2.102101913698314,3.476741600155359,1.5844573430717688
165,0.033,2.1035806531061625,3.5393246192348164,1.5854384911223405
166,0.0332,2.194348608030129,3.59877753094209,1.5864171897747283
167,0.0334,2.1954543501588657,3.6625855642645826,1.5873934367690388
168,0.0336,2.196546543141392,3.661320403676332,1.6335964817912922
169,0.0338,2.27393348932702,3.6600746821745807,1.6834261689199297
170,0.034,2.347153799219512,3.6588482385561427,1.6842827873371744
171,0.0342,2.4177455719467007,3.658607017624128,1.6851370347078172
